id,name,slug,price,listed_price,discount_percent,is_discount,is_out_of_stock,rating_score,total_sold,category,category_slug,subcategory,subcategory_slug,brand,brand_slug,image_url,tags
65a3bd74122f00001d93268c,Tinh dầu dưỡng tóc ATS For man Styling Oil 80ml,tinh-dau-duong-toc-ats-for-man-styling-oil-80ml,655000,655000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dưỡng tóc,duong-toc,ATS,ats,https://static.30shine.com/shop-admin/2024/01/14/30SF3Q4K-5.jpg,30Shine
65a3bb4d122f00001d9324d5,Sáp vuốt tóc By Vilain giữ nếp lâu mùi hương nam tính 30Shine phân phối chính hãng,sap-vuot-toc-by-vilain-giu-nep-dinh-cao-mui-huong-nam-tinh-30shine-phan-phoi-chinh-hang,"{'from': 199000, 'to': 359000}",0,0,False,False,0,0,Tạo kiểu tóc,tao-kieu-toc,Sáp vuốt tóc,sap-vuot-toc,By Vilain,by-vilain,https://static.30shine.com/shop-admin/2024/01/14/30S7P683-combo-3-by-vilain.jpg,30Shine
652cf654485492001dee37c5,Dầu Gội Vichy Giảm Gàu Cho Da Đầu Dầu Dercos Shampoo Dandruff & Itchy Scalp 200ml,dau-goi-vichy-giam-gau-cho-da-dau-dau-dercos-shampoo-dandruff-itchy-scalp-200ml,415000,415000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dầu gội,dau-goi,Vichy,vichy,https://static.30shine.com/shop-admin/2023/10/16/30S6A3HD-zoom-side-213548.jpg,30Shine
651e8175c8bf80001d2479d7,Xịt Dưỡng Tóc It's A 10 Miracle Leave-In Mềm Mượt Và Bảo Vệ Tóc 59ML,xit-duong-toc-its-a-mem-muot-va-bao-ve-toc-10-miracle-leave-in-59ml,327000,327000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dưỡng tóc,duong-toc,It's a 10 Haircare,its-a-10-haircare,https://static.30shine.com/shop-admin/2023/10/05/30SDLXT6-1.jpg,30Shine
651e810dc8bf80001d2479b4,Xịt Dưỡng Tóc It's A 10 Miracle Leave-In Mềm Mượt Và Bảo Vệ Tóc 120ML,xit-duong-toc-its-a-mem-muot-va-bao-ve-toc-10-miracle-leave-in-120ml,529000,529000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dưỡng tóc,duong-toc,It's a 10 Haircare,its-a-10-haircare,https://static.30shine.com/shop-admin/2023/10/05/30SMV01Z-2.jpg,30Shine
651e799bc8bf80001d24756a,"Kem chống nắng chống lão hóa, bảo vệ cao cho da mặt SUN SOUL FACE CREAM SPF 30",kem-chong-nang-chong-lao-hoa-bao-ve-cao-cho-da-mat-sun-soul-face-cream-spf-30,880000,880000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Kem chống nắng,kem-chong-nang,30Shine,30shine,https://static.30shine.com/shop-admin/2023/10/05/30SOXF6D-1.jpg,30Shine
65080b62019990001d05d6f4,Tinh Chất Serum Cấp Ẩm Sâu Trẻ Hoá Da GGG Wonder Glow Rejuvenating Serum 30ml,tinh-chat-serum-cap-am-sau-tre-hoa-da-ggg-wonder-glow-rejuvenating-serum-30ml,595000,595000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Dưỡng da,duong-da,G.G.G,ggg,https://static.30shine.com/shop-admin/2023/09/18/30S3L1HA-main-2.jpg,30Shine
64df30ca3a467d001d293e65,Nước dưỡng làm dịu da nhạy cảm Comfort Zone Remedy Toner 200ml 30shine phân phối chính hãng,nuoc-duong-lam-diu-da-nhay-cam-comfort-zone-remedy-toner-200ml-30shine-phan-phoi-chinh-hang,990000,990000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Sữa rửa mặt,sua-rua-mat,Comfort Zone,comfort-zone,https://static.30shine.com/shop-admin/2023/08/18/30SQYQVI-uno ngày (1).jpg,30Shine
64df2dda6fc995001d04b111,"Gel Rửa Mặt làm sạch sâu, cân bằng da Comfort Zone Active Pureness Gel 200ml",gel-rua-mat-lam-sach-sau-can-bang-da-comfort-zone-active-pureness-gel-200ml,990000,990000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Sữa rửa mặt,sua-rua-mat,Comfort Zone,comfort-zone,https://static.30shine.com/shop-admin/2023/08/18/30SDOXQV-GLANZEN MAGIC SPRAY (1).jpg,30Shine
64d216f0fecb56001d45aea0,Tinh chất nuôi dưỡng chăm sóc tóc khô và hư tổn UNOVE SILK OIL ESSENCE 70ml,tinh-chat-nuoi-duong-cham-soc-toc-kho-va-hu-ton-unove-silk-oil-essence-70ml,562000,562000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dưỡng tóc,duong-toc,Dr.FORHAIR,drforhair,https://static.30shine.com/shop-admin/2023/08/08/30SEHXUN-1681626899-2 CÔNG DỤNG.jpg,30Shine
